gc_454	(0,3)-colorable
gc_455	K_4--free
gc_456	K_2 \cup K_3--free
gc_457	weak bisplit
gc_458	bisplit $\cap$ triangle--free
gc_459	$P_4$--simplicial
gc_460	$P_4$--indifference
gc_461	(S_3,net)--free $\cap$ extended $P_4$--sparse
gc_462	k-polygon
gc_463	(P_5,co-fork)--free
gc_464	grid
gc_465	split-perfect
gc_466	(P_5,gem)--free
gc_467	co--trapezoid
gc_469	co--bounded tolerance
gc_470	bounded treewidth
gc_472	2-subdivision
gc_473	(C_4,diamond)--free
gc_474	(\co{P},fork,gem)--free
gc_475	(bull,fork,gem)--free
gc_476	(\co{P},fork,house)--free
gc_477	(bull,fork,house)--free
gc_478	(P_5,bull,house)--free
gc_479	(P,\co{P},co-fork,fork)--free
gc_480	(P_5,fork,house)--free
gc_481	cliquewidth 2
gc_482	cliquewidth 3
gc_483	cliquewidth 4
gc_484	(2,2)-colorable
gc_485	(2,0)-colorable
gc_486	co--bipartite
gc_487	circular arc $\cap$ co--bipartite
gc_488	(q,t)
gc_489	(5,1)
gc_490	(5,2)
gc_491	(6,2)
gc_492	(6,3)
gc_493	(7,3)
gc_494	(7,4)
gc_495	(7,5)
gc_496	(8,4)
gc_497	(9,6)
gc_498	(q,q-4), fixed q
gc_499	C_5--free $\cap$ $P_4$--extendible
gc_500	(p,q)-colorable
gc_501	(q, q-3), fixed q\ge 7
gc_502	(C_5,K_2 \cup K_3,K_{2,3},P,P_2 \cup P_3,P_5,\co{P},\co{P_2 \cup P_3},co-fork,fork,house)--free
gc_503	XC_9--free
gc_504	partner-limited
gc_505	(A,T_2,odd-cycle)--free
gc_506	(C_4,K_4,claw,diamond)--free
gc_507	C_4--free $\cap$ C_6--free $\cap$ bipartite
gc_508	(2K_2,claw)--free
gc_509	(claw,paw)--free
gc_510	(co-gem,gem)--free
gc_511	(C_5,P,P_5,\co{P},house)--free
gc_512	(C_5,P_5,\co{P},co-fork,co-gem,fork)--free
gc_513	(C_5,P,P_5,\co{P},bull,co-gem,fork)--free
gc_514	(co-paw,paw)--free
gc_515	(4K_1,K_4)--free
gc_516	(P_5,\co{P},gem)--free
gc_517	(C_5,P_5,gem)--free
gc_518	(C_5,co-gem,gem)--free
gc_519	(bull,co-gem,gem)--free
gc_520	(C_5,bull,co-gem,gem)--free
gc_521	bipartite $\cap$ co--trapezoid
gc_522	comparability graphs of posets of interval dimension 2, height 1
gc_523	co--comparability graphs of posets of interval dimension 2, height 1
gc_524	difference
gc_525	bipartite $\cap$ claw--free
gc_526	F_n grid
gc_527	H_{n,q} grid
gc_528	(C_4,C_5,C_6,C_7,C_8,claw,diamond)--free
gc_530	(A,E,S_3,X_1,domino,hole,house,net,rising sun)--free
gc_531	(T_2,X_2,X_3,hole,triangle)--free
gc_532	Raspail
gc_533	(A,P_6,clique wheel,domino,hole,house)--free
gc_534	(P_6,X_{10},X_{11},X_{12},X_{13},X_{14},X_{15},X_5,X_6,X_7,X_8,X_9,\co{C_6},\co{P_6},antenna,hole)--free
gc_535	co--Welsh--Powell opposition
gc_536	spider graph
gc_537	(C_5,C_6,P_6,X_{17},X_{18},X_5,X_{98},\co{C_6},\co{P_6},antenna,domino)--free
gc_538	(C_5,C_6,C_7,C_8,P_8,X_{19},X_{20},X_{21},X_{22},gem,house)--free
gc_539	(2C_4,3K_2,C_6,E,P_2 \cup P_4,P_6,X_{25},X_{26},X_{27},X_{28},X_{29},odd-cycle)--free
gc_540	(1,2)-colorable
gc_541	$N^*$
gc_542	(2K_2,A,H)--free
gc_543	probe interval
gc_544	probe chordal
gc_545	probe chordal $\cap$ weakly chordal
gc_546	(6,1)-even-chordal
gc_547	even-hole--free
gc_548	even-hole--free $\cap$ probe chordal
gc_549	domination perfect
gc_550	(A,H,K_{3,3},X_{45},X_{46},X_{47},X_{48},X_{49},X_{50},X_{51},X_{52},X_{53},X_{54},X_{55},X_{56},X_{57},\co{X_{42}})--free
gc_551	middle
gc_552	chordal $\cap$ domination perfect
gc_553	domination perfect $\cap$ triangle--free
gc_554	domination perfect $\cap$ planar
gc_555	indifference
gc_556	co--comparability $\cap$ tolerance
gc_557	chordal-perfect
gc_558	split $\cap$ superperfect
gc_559	co--chordal $\cap$ superperfect
gc_560	irredundance perfect
gc_561	chordal $\cap$ irredundance perfect
gc_562	(C_{n+4},X_{59},longhorn)--free
gc_563	(A,P_6,domino)--free
gc_564	irredundance perfect with ir(G)\le 4
gc_565	probe unit interval
gc_566	(W_4,claw)--free
gc_568	weak dominating pair
gc_569	diametral path
gc_571	homogeneously representable
gc_572	(P_5,bull)--free
gc_573	(P_5,bull)--free $\cap$ interval
gc_574	(bull,house)--free
gc_575	(bull,house,odd-hole)--free
gc_576	chordal $\cap$ diametral path
gc_577	(C_{n+4},T_2,net)--free
gc_578	(3K_2,C_4 \cup P_2,C_5,P_2 \cup P_4,P_5,S_3,X_1,X_{46},X_{70},\co{3K_2},\co{C_4 \cup P_2},\co{P_2 \cup P_4},\co{X_1},\co{X_{46}},\co{X_{70}},co-fish,co-rising sun,fish,house,net,rising sun)--free
gc_579	(C_4,C_5)--free $\cap$ cop--win
gc_580	chordal $\cap$ domino
gc_581	reflexive
gc_582	Helly $\cap$ reflexive
gc_583	clique--Helly $\cap$ dismantlable $\cap$ reflexive
gc_584	pseudo--modular $\cap$ triangle--free
gc_585	(domino,gem,house)--free
gc_586	(domino,gem,house)--free $\cap$ pseudo--modular
gc_587	C_6--free $\cap$ modular
gc_588	(X_{79},X_{80})--free
gc_589	(X_{79},X_{80})--free $\cap$ modular
gc_590	BW_3--free
gc_591	BW_3--free $\cap$ modular
gc_592	domino--free
gc_593	domino--free $\cap$ modular
gc_594	$k$-tree, fixed $k$
gc_595	partial $k$-tree, fixed $k$
gc_597	(odd anti-hole,odd-hole)--free
gc_598	K_4--free $\cap$ perfect
gc_600	interval regular
gc_601	interval regular of diameter 2
gc_602	bipartite tolerance
gc_603	diamond--free $\cap$ perfect
gc_604	D
gc_605	domishold
gc_606	totally unimodular
gc_607	2--split $\cap$ perfect
gc_608	split-neighbourhood
gc_609	pretty
gc_610	odd-hole--free $\cap$ pretty
gc_611	p-tree
